,address,description,title,url,state
0,"1688 W. Adams Street 
Phoenix, AZ 85007 United States","The Environmental Services Division is responsible for regulating the agricultural industry to ensure the safe use of pesticides, and to ensure the quality of feed, fertilizer, and pesticide formulations.",Arizona Department Of Agriculture; Environmental Services Division,www.az.gov/divisions/environmental-services,AZ
1,"One Capitol Mall, Room 4A-900 
Little Rock, AR 72201 United States","The Department’s mission is to develop, maintain, and operate 50 state parks and four museums; advertise and promote all the state’s recreation and travel potentials; provide information to attract retirees and others wanting to relocate; and assist communities in establishing local litter prevention and recycling projects.",Arkansas Department Of Parks And Tourism,www.arkansas.com,AR
2,"1500 Tower Building 
323 Center Street 
Little Rock, AR 72201 United States","The Arkansas Natural Heritage Commission (ANHC) is responsible for maintaining the most up-to-date and comprehensive source of information concerning the rare plant and animal species, and high-quality natural communities of Arkansas. To protect rare species and habitats, the ANHC maintains the System of Natural Areas. Along with comprising remnants of the original natural landscape, lands within the System of Natural Areas provide vital habitat for imperiled plant and animal species.",Arkansas Natural Heritage Commission,www.naturalheritage.com,AR
3,"1 4-H Way 
Little Rock, AR 72223 United States","An off-campus education organization with faculty and offices in each county with the basic mission to disseminate and encourage the application of research-generated knowledge and leadership techniques to individuals, families, and communities. The county faculty is backed by subject matter specialists and their research counterparts.",Arkansas State Extension Services; Four H Center,www.arkansas4hcenter.org,AR
4,"1719 24th Street 
Sacramento, CA 95816 United States","The CCC was created with a dual mission: the employment and development of the state’s youth, and the protection and enhancement of California’s natural resources. Some 53 million hours of public-service conservation work and emergency assistance have been provided by the Corps in its 28th year of existence.",California Conservation Corps; California Resources Agency,www.ccc.ca.gov,CA
5,"1807 13th Street, Suite 103 
Sacramento, CA 95814-7117 United States","In concert with the Department of Fish and Game, the Board authorizes the acquisition, development of public access improvements, restoration, and enhancement of land and water for wildlife conservation and related recreational purposes. The Board also administers the Inland Wetlands Conservation Program; the California Riparian Habitat Conservation Program; the Oak Woodland Program; and the Rangeland, Grazing Land, and Grasslands Protection Program.",California Department Of Fish And Wildlife; Resources Agency; Wildlife Conservation Board,www.wcb.ca.gov,CA
6,"1416 9th Street 
Room 1413-9 
Sacramento, CA 95814 United States","Responsible for the acquisition, preservation, development, interpretation, and operation of the state park system; also responsible for the administration of grants for recreation to local government and for development of the California Outdoor Recreation Resources Plan.",California Department Of Parks And Recreation; California State Parks,parks.ca.gov,CA
7,"120 South Pleasant Street 
Belding, MI 48809-1644 United States",The Belding Community Development Department works to create an environmentaly sensitive community where quality design of the built environment and quality design of the natural environment meet.,City Of Belding; Community Development Department; Planning Department,www.ci.belding.mi.us,MI
8,"201 E. Colfax Avenue 
Denver, CO 80203 United States","Conservation education services, jointly with the Colorado Division of Wildlife.",Colorado Department Of Education; State Office,www.cde.state.co.us,CO
9,"1127 Sherman Street Suite 300 
Denver, CO 80203 United States",Manage State Trust Lands,Colorado Department Of Natural Resources; State Board Of Land Commissioners,www.trustlands.state.co.us,CO
10,"1311 South College Avenue-University Square Building 
Ft. Collins, CO 80523 United States",A branch of Colorado State University. Conducts statewide noncredit educational programs off campus.,Colorado State University Cooperative Extension,www.extension.colostate.edu,CO
11,"79 Elm Street 
Hartford, CT 06106-5127 United States 
 
5201 Ruffin Road, Suite B 
San Diego, CA 92123 United States","Created by the Connecticut General Assembly to conserve, protect, and improve the state’s environment and to manage the basic resources of air, water, and land for the benefit of present and future generations.
  


   Working with the federal, state, local, and regional governments to protect the region’s biodiversity and 85 sensitive species by linking together large blocks of habitat with county, state and federal parks, open space, and watershsed protection areas to preserve biological core areas and connecting corridors",Connecticut Department Of Energy And Environmental Protection,www.mscp-sandiego.org,CT
12,"89 Kings Highway 
Dover, DE 19901 United States","It’s the mission of the Delaware Department of Natural Resources and Environmental Control to protect and manage the state’s vital natural resources, protect public health and safety, provide quality outdoor recreation and to serve and educate the citizens of the First State about the wise use, conservation, and enhancement of Delaware’s environment.",Delaware Department Of Natural Resources And Environmental Control,www.dnrec.state.de.us,DE
13,"2320 S. DuPont Highway 
Dover, DE 19901-5515 United States","The Delaware Forest Service provides technical forestry assistance to landowners and homeowners and manages Delaware’s three state forests (Blackbird, Redden, and Taber).",Delaware Forest Service,www.dda.delaware.gov/forestry,DE
14,"1151 Punchbowl Street 
Honolulu, HI 96813 United States","The DAR manages the state’s aquatic resources through programs in commercial fisheries and resource enhancement, aquatic resources protection, habitat enhancement and education, and recreational fisheries. Major program areas include projects to manage or enhance fisheries for long-term sustainability of the resources, protect and restore the aquatic environment, protect native and resident aquatic species and their habitat, and provide facilities and opportunities for recreational fishing.",Department Of Land And Natural Resources (Hawaii); Division Of Aquatic Resources,www.dlnr.hawaii.gov/dar,HI
15,"5700 E. Tudor Road 
Anchorage, AK 99507 United States","The Bureau’s primary mission is the protection of Alaska’s fish and wildlife resources through enforcement of laws and regulations governing use of natural resources within Alaska and its adjacent waters, as well as through increasing the knowledge of, and respect for, fish and wildlife laws and regulations.",Department Of Public Safety; Alaska State Troopers; Alaska Bureau Of Wildlife Enforcement,www.dps.alaska.gov,AK
16,"4001 E. Paisano 
El Paso, TX 79905 United States","The Zoo’s education department reaches over 50,000 people a year with formal and informal programs at local schools and at the Zoo. They are developing a series of new conservation action outreach programs focusing on endangered species of Asia.",El Paso Zoo Conservation Education,www.elpasozoo.org,TX
17,"300 Fair Oaks Lane 
Frankfort, KY 40601 United States","their mission is to protect and enhance Kentucky’s natural resources by providing environmental leadership and expertise; shaping a vision for Kentucky’s ecological future; serving as a bridge linking Kentucky’s citizens, government and businesses; and monitoring environmental trends and anticipating needs.",Energy And Environment Cabinet Department Of Environmental Protection,www.dep.ky.gov,KY
18,"2610 Georgia Highway 155, SW 
Stockbridge, GA 30281 United States",Georgia’s State Historic Preservation Office.,Georgia Department Of Natural Resources; Historic Jewett Center For Historic Preservation,www.georgiashpo.org,GA
19,"P.O. Box 3044 
Sacramento, CA 95812-3044 United States","Primary areas of concentration are the implementation of the California Environmental Quality Act (CEQA), technical assistance to cities and counties for the development of local general plans; state and local land use planning; evaluation of state plans and programs; and preparation of statewide environmental goals and policies.",Governor’S Office Of Planning And Research (California); State Clearinghouse,www.opr.ca.gov/m_stateclearinghouse.php,CA
20,"235 S. Beretania Street 
Suite 702 
Honolulu, HI 96813 United States",,Hawaii Department Of Health; Office Of Environmental Quality Control,www.health.hawaii.gov/oeqc,HI
